课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1380,数据挖掘,绪论,引言,INF1380_数据挖掘,1,2,
INF1380,数据挖掘,绪论,基本术语,INF1380_数据挖掘,2,4,
INF1380,数据挖掘,绪论,假设空间,INF1380_数据挖掘,4,6,
INF1380,数据挖掘,绪论,归纳偏好,INF1380_数据挖掘,6,10,
INF1380,数据挖掘,绪论,发展历程,INF1380_数据挖掘,10,13,
INF1380,数据挖掘,绪论,应用现状,INF1380_数据挖掘,13,16,
INF1380,数据挖掘,模型评估与选择,经验误差与过拟合,INF1380_数据挖掘,23,24,
INF1380,数据挖掘,模型评估与选择,评估方法,INF1380_数据挖掘,24,28,
INF1380,数据挖掘,模型评估与选择,性能度量,INF1380_数据挖掘,28,37,
INF1380,数据挖掘,模型评估与选择,比较检验,INF1380_数据挖掘,37,44,
INF1380,数据挖掘,模型评估与选择,偏差与方差,INF1380_数据挖掘,44,46,
INF1380,数据挖掘,线性模型,基本形式,INF1380_数据挖掘,53,53,
INF1380,数据挖掘,线性模型,线性回归,INF1380_数据挖掘,53,57,
INF1380,数据挖掘,线性模型,对数几率回归,INF1380_数据挖掘,57,60,
INF1380,数据挖掘,线性模型,线性判别分析,INF1380_数据挖掘,60,63,
INF1380,数据挖掘,线性模型,多分类学习,INF1380_数据挖掘,63,66,
INF1380,数据挖掘,线性模型,类别不平衡问题,INF1380_数据挖掘,66,67,
INF1380,数据挖掘,决策树,基本流程,INF1380_数据挖掘,73,75,
INF1380,数据挖掘,决策树,划分选择,INF1380_数据挖掘,75,79,
INF1380,数据挖掘,决策树,剪枝处理,INF1380_数据挖掘,79,83,
INF1380,数据挖掘,决策树,连续与缺失值,INF1380_数据挖掘,83,88,
INF1380,数据挖掘,决策树,多变量决策树,INF1380_数据挖掘,88,92,
INF1380,数据挖掘,神经网络,神经元模型,INF1380_数据挖掘,97,98,
INF1380,数据挖掘,神经网络,感知机与多层网络,INF1380_数据挖掘,98,101,
INF1380,数据挖掘,神经网络,误差逆传播算法,INF1380_数据挖掘,101,106,
INF1380,数据挖掘,神经网络,全局最小与局部极小,INF1380_数据挖掘,106,108,
INF1380,数据挖掘,神经网络,其他常见神经网络,INF1380_数据挖掘,108,113,
INF1380,数据挖掘,神经网络,深度学习,INF1380_数据挖掘,113,115,
INF1380,数据挖掘,支持向量机,间隔与支持向量,INF1380_数据挖掘,121,123,
INF1380,数据挖掘,支持向量机,对偶问题,INF1380_数据挖掘,123,126,
INF1380,数据挖掘,支持向量机,核函数,INF1380_数据挖掘,126,129,
INF1380,数据挖掘,支持向量机,软间隔与正则化,INF1380_数据挖掘,129,133,
