课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1371,软件工程导论,软件工程学概述,软件危机,INF1371_软件工程导论,17,21,
INF1371,软件工程导论,软件工程学概述,软件工程,INF1371_软件工程导论,21,27,
INF1371,软件工程导论,软件工程学概述,软件生命周期,INF1371_软件工程导论,27,30,
INF1371,软件工程导论,软件工程学概述,软件过程,INF1371_软件工程导论,30,47,
INF1371,软件工程导论,可行性研究,可行性研究的任务,INF1371_软件工程导论,51,52,
INF1371,软件工程导论,可行性研究,可行性研究过程,INF1371_软件工程导论,52,54,
INF1371,软件工程导论,可行性研究,系统流程图,INF1371_软件工程导论,54,56,
INF1371,软件工程导论,可行性研究,数据流图,INF1371_软件工程导论,56,63,
INF1371,软件工程导论,可行性研究,数据字典,INF1371_软件工程导论,63,65,
INF1371,软件工程导论,可行性研究,成本、效益分析,INF1371_软件工程导论,65,68,
INF1371,软件工程导论,需求分析,需求分析的任务,INF1371_软件工程导论,72,74,
INF1371,软件工程导论,需求分析,与用户沟通获取需求的方法,INF1371_软件工程导论,74,77,
INF1371,软件工程导论,需求分析,分析建模与规格说明,INF1371_软件工程导论,78,78,
INF1371,软件工程导论,需求分析,实体-联系图,INF1371_软件工程导论,78,80,
INF1371,软件工程导论,需求分析,数据规范化,INF1371_软件工程导论,80,81,
INF1371,软件工程导论,需求分析,状态转换图,INF1371_软件工程导论,81,83,
INF1371,软件工程导论,需求分析,其他图形工具,INF1371_软件工程导论,83,86,
INF1371,软件工程导论,需求分析,验证软件需求,INF1371_软件工程导论,86,88,
INF1371,软件工程导论,形式化说明技术,概述,INF1371_软件工程导论,91,93,
INF1371,软件工程导论,形式化说明技术,有穷状态机,INF1371_软件工程导论,93,98,
INF1371,软件工程导论,形式化说明技术,Petri网,INF1371_软件工程导论,98,101,
INF1371,软件工程导论,形式化说明技术,Z语言,INF1371_软件工程导论,101,104,
INF1371,软件工程导论,总体设计,设计过程,INF1371_软件工程导论,107,109,
INF1371,软件工程导论,总体设计,设计原理,INF1371_软件工程导论,110,115,
INF1371,软件工程导论,总体设计,启发规则,INF1371_软件工程导论,115,118,
INF1371,软件工程导论,总体设计,描绘软件结构的图形工具,INF1371_软件工程导论,118,120,
INF1371,软件工程导论,总体设计,面向数据流的设计方法,INF1371_软件工程导论,120,129,
INF1371,软件工程导论,详细设计,结构程序设计,INF1371_软件工程导论,133,135,
INF1371,软件工程导论,详细设计,人机界面设计,INF1371_软件工程导论,135,140,
INF1371,软件工程导论,详细设计,过程设计的工具,INF1371_软件工程导论,140,145,
INF1371,软件工程导论,详细设计,面向数据结构的设计方法,INF1371_软件工程导论,145,152,
INF1371,软件工程导论,详细设计,程序复杂程度的定量度量,INF1371_软件工程导论,152,156,
INF1371,软件工程导论,实现,编码,INF1371_软件工程导论,162,165,
INF1371,软件工程导论,实现,软件测试基础,INF1371_软件工程导论,165,169,
INF1371,软件工程导论,实现,单元测试,INF1371_软件工程导论,169,172,
INF1371,软件工程导论,实现,集成测试,INF1371_软件工程导论,172,176,
INF1371,软件工程导论,实现,确认测试,INF1371_软件工程导论,176,177,
INF1371,软件工程导论,实现,白盒测试技术,INF1371_软件工程导论,178,187,
INF1371,软件工程导论,实现,黑盒测试技术,INF1371_软件工程导论,187,192,
INF1371,软件工程导论,实现,调试,INF1371_软件工程导论,192,195,
INF1371,软件工程导论,实现,软件可靠性,INF1371_软件工程导论,195,198,
INF1371,软件工程导论,维护,软件维护的定义,INF1371_软件工程导论,205,206,
INF1371,软件工程导论,维护,软件维护的特点,INF1371_软件工程导论,206,207,
INF1371,软件工程导论,维护,软件维护过程,INF1371_软件工程导论,208,210,
INF1371,软件工程导论,维护,软件的可维护性,INF1371_软件工程导论,210,213,
INF1371,软件工程导论,维护,预防性维护,INF1371_软件工程导论,213,214,
INF1371,软件工程导论,维护,软件再工程过程,INF1371_软件工程导论,214,216,
INF1371,软件工程导论,面向对象方法学引论,面向对象方法学概述,INF1371_软件工程导论,219,224,
INF1371,软件工程导论,面向对象方法学引论,面向对象的概念,INF1371_软件工程导论,225,231,
INF1371,软件工程导论,面向对象方法学引论,面向对象建模,INF1371_软件工程导论,231,232,
INF1371,软件工程导论,面向对象方法学引论,对象模型,INF1371_软件工程导论,232,239,
INF1371,软件工程导论,面向对象方法学引论,动态模型,INF1371_软件工程导论,239,240,
INF1371,软件工程导论,面向对象方法学引论,功能模型,INF1371_软件工程导论,240,244,
INF1371,软件工程导论,面向对象方法学引论,3种模型之间的关系,INF1371_软件工程导论,244,244,
INF1371,软件工程导论,面向对象分析,面向对象分析的基本过程,INF1371_软件工程导论,247,249,
INF1371,软件工程导论,面向对象分析,需求陈述,INF1371_软件工程导论,249,251,
INF1371,软件工程导论,面向对象分析,建立对象模型,INF1371_软件工程导论,251,262,
INF1371,软件工程导论,面向对象分析,建立动态模型,INF1371_软件工程导论,263,269,
INF1371,软件工程导论,面向对象分析,建立功能模型,INF1371_软件工程导论,269,271,
INF1371,软件工程导论,面向对象分析,定义服务,INF1371_软件工程导论,271,272,
INF1371,软件工程导论,面向对象设计,面向对象设计的准则,INF1371_软件工程导论,275,277,
INF1371,软件工程导论,面向对象设计,启发规则,INF1371_软件工程导论,277,279,
INF1371,软件工程导论,面向对象设计,软件重用,INF1371_软件工程导论,279,283,
INF1371,软件工程导论,面向对象设计,系统分解,INF1371_软件工程导论,283,286,
INF1371,软件工程导论,面向对象设计,设计问题域子系统,INF1371_软件工程导论,286,289,
INF1371,软件工程导论,面向对象设计,设计人机交互子系统,INF1371_软件工程导论,289,291,
INF1371,软件工程导论,面向对象设计,设计任务管理子系统,INF1371_软件工程导论,291,293,
INF1371,软件工程导论,面向对象设计,设计数据管理子系统,INF1371_软件工程导论,293,296,
INF1371,软件工程导论,面向对象设计,设计类中的服务,INF1371_软件工程导论,296,298,
INF1371,软件工程导论,面向对象设计,设计关联,INF1371_软件工程导论,298,299,
INF1371,软件工程导论,面向对象设计,设计优化,INF1371_软件工程导论,299,303,
INF1371,软件工程导论,面向对象实现,程序设计语言,INF1371_软件工程导论,305,310,
INF1371,软件工程导论,面向对象实现,程序设计风格,INF1371_软件工程导论,310,314,
INF1371,软件工程导论,面向对象实现,测试策略,INF1371_软件工程导论,314,315,
INF1371,软件工程导论,面向对象实现,设计测试用例,INF1371_软件工程导论,315,319,
INF1371,软件工程导论,软件项目管理,估算软件规模,INF1371_软件工程导论,321,323,
INF1371,软件工程导论,软件项目管理,工作量估算,INF1371_软件工程导论,324,327,
INF1371,软件工程导论,软件项目管理,进度计划,INF1371_软件工程导论,328,335,
INF1371,软件工程导论,软件项目管理,人员组织,INF1371_软件工程导论,336,340,
INF1371,软件工程导论,软件项目管理,质量保证,INF1371_软件工程导论,340,344,
INF1371,软件工程导论,软件项目管理,软件配置管理,INF1371_软件工程导论,344,347,
INF1371,软件工程导论,软件项目管理,能力成熟度模型,INF1371_软件工程导论,347,350,
