课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1305,自然语言处理,绪论,自然语言处理基本概念,INF1305_自然语言处理,21,30,
INF1305,自然语言处理,绪论,自然语言处理的基本范式,INF1305_自然语言处理,30,35,
INF1305,自然语言处理,词汇分析,语言中的词汇,INF1305_自然语言处理,38,43,
INF1305,自然语言处理,词汇分析,词语规范化,INF1305_自然语言处理,43,45,
INF1305,自然语言处理,词汇分析,中文分词,INF1305_自然语言处理,45,58,
INF1305,自然语言处理,词汇分析,词性标注,INF1305_自然语言处理,58,67,
INF1305,自然语言处理,句法分析,句法概述,INF1305_自然语言处理,69,74,
INF1305,自然语言处理,句法分析,成分句法分析,INF1305_自然语言处理,74,91,
INF1305,自然语言处理,句法分析,依存句法分析,INF1305_自然语言处理,91,108,
INF1305,自然语言处理,句法分析,句法分析语料库,INF1305_自然语言处理,108,111,
INF1305,自然语言处理,语义分析,语义学概述,INF1305_自然语言处理,114,121,
INF1305,自然语言处理,语义分析,语义表示,INF1305_自然语言处理,121,126,
INF1305,自然语言处理,语义分析,分布式表示,INF1305_自然语言处理,126,142,
INF1305,自然语言处理,语义分析,词义消歧,INF1305_自然语言处理,142,154,
INF1305,自然语言处理,语义分析,语义角色标注,INF1305_自然语言处理,154,167,
INF1305,自然语言处理,篇章分析,篇章理论概述,INF1305_自然语言处理,169,177,
INF1305,自然语言处理,篇章分析,话语分割,INF1305_自然语言处理,177,181,
INF1305,自然语言处理,篇章分析,篇章结构分析,INF1305_自然语言处理,181,191,
INF1305,自然语言处理,篇章分析,指代消解,INF1305_自然语言处理,191,203,
INF1305,自然语言处理,语言模型,语言模型概述,INF1305_自然语言处理,205,207,
INF1305,自然语言处理,语言模型,n元语言模型,INF1305_自然语言处理,207,212,
INF1305,自然语言处理,语言模型,神经网络语言模型,INF1305_自然语言处理,212,215,
INF1305,自然语言处理,语言模型,预训练语言模型,INF1305_自然语言处理,215,227,
INF1305,自然语言处理,语言模型,大规模语言模型,INF1305_自然语言处理,227,234,
INF1305,自然语言处理,语言模型,语言模型评价方法,INF1305_自然语言处理,234,235,
INF1305,自然语言处理,信息抽取,信息抽取概述,INF1305_自然语言处理,237,239,
INF1305,自然语言处理,信息抽取,命名实体识别,INF1305_自然语言处理,239,259,
INF1305,自然语言处理,信息抽取,关系抽取,INF1305_自然语言处理,259,275,
INF1305,自然语言处理,信息抽取,事件抽取,INF1305_自然语言处理,275,286,
INF1305,自然语言处理,机器翻译,机器翻译概述,INF1305_自然语言处理,288,291,
INF1305,自然语言处理,机器翻译,基于统计的机器翻译方法,INF1305_自然语言处理,291,303,
INF1305,自然语言处理,机器翻译,基于神经网络的机器翻译方法,INF1305_自然语言处理,303,314,
INF1305,自然语言处理,机器翻译,机器翻译语料库,INF1305_自然语言处理,314,316,
INF1305,自然语言处理,情感分析,情感分析概述,INF1305_自然语言处理,318,326,
INF1305,自然语言处理,情感分析,篇章级情感分析,INF1305_自然语言处理,326,333,
INF1305,自然语言处理,情感分析,句子级情感分析,INF1305_自然语言处理,333,338,
INF1305,自然语言处理,情感分析,属性级情感分析,INF1305_自然语言处理,338,356,
INF1305,自然语言处理,智能问答,智能问答概述,INF1305_自然语言处理,358,362,
INF1305,自然语言处理,智能问答,阅读理解,INF1305_自然语言处理,362,373,
INF1305,自然语言处理,智能问答,表格问答,INF1305_自然语言处理,373,377,
INF1305,自然语言处理,智能问答,社区问答,INF1305_自然语言处理,377,383,
INF1305,自然语言处理,智能问答,开放领域问答,INF1305_自然语言处理,383,389,
INF1305,自然语言处理,文本摘要,文本摘要概述,INF1305_自然语言处理,391,394,
INF1305,自然语言处理,文本摘要,抽取式文本摘要,INF1305_自然语言处理,394,403,
INF1305,自然语言处理,文本摘要,生成式文本摘要,INF1305_自然语言处理,403,413,
INF1305,自然语言处理,文本摘要,文本摘要的评测,INF1305_自然语言处理,413,419,
INF1305,自然语言处理,文本摘要,文本摘要语料库,INF1305_自然语言处理,419,421,
INF1305,自然语言处理,知识图谱,知识图谱概述,INF1305_自然语言处理,426,428,
INF1305,自然语言处理,知识图谱,知识图谱表示与存储,INF1305_自然语言处理,428,440,
INF1305,自然语言处理,知识图谱,知识图谱获取与构建,INF1305_自然语言处理,440,452,
INF1305,自然语言处理,知识图谱,知识图谱推理,INF1305_自然语言处理,452,461,
INF1305,自然语言处理,知识图谱,知识图谱问答,INF1305_自然语言处理,461,473,
INF1305,自然语言处理,模型稳健性,稳健性概述,INF1305_自然语言处理,475,478,
INF1305,自然语言处理,模型稳健性,数据偏差消除,INF1305_自然语言处理,478,480,
INF1305,自然语言处理,模型稳健性,文本对抗攻击方法,INF1305_自然语言处理,480,489,
INF1305,自然语言处理,模型稳健性,文本对抗防御方法,INF1305_自然语言处理,489,495,
INF1305,自然语言处理,模型稳健性,模型稳健性评价基准,INF1305_自然语言处理,495,503,
INF1305,自然语言处理,模型可解释性,可解释性概述,INF1305_自然语言处理,505,509,
INF1305,自然语言处理,模型可解释性,解释性分析方法,INF1305_自然语言处理,509,518,
INF1305,自然语言处理,模型可解释性,自然语言处理算法解释分析方法,INF1305_自然语言处理,518,526,
