课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1457,离散数学及应用,命题逻辑的基本概念,命题与联结词,INF1457_离散数学及应用,14,20,
INF1457,离散数学及应用,命题逻辑的基本概念,命题公式及其赋值,INF1457_离散数学及应用,20,25,
INF1457,离散数学及应用,命题逻辑等值演算,等值式,INF1457_离散数学及应用,30,37,
INF1457,离散数学及应用,命题逻辑等值演算,析取范式与合取范式,INF1457_离散数学及应用,37,47,
INF1457,离散数学及应用,命题逻辑等值演算,联结词的完备集,INF1457_离散数学及应用,47,49,
INF1457,离散数学及应用,命题逻辑等值演算,可满足性问题与消解法,INF1457_离散数学及应用,49,53,
INF1457,离散数学及应用,命题逻辑的推理理论,推理的形式结构,INF1457_离散数学及应用,57,61,
INF1457,离散数学及应用,命题逻辑的推理理论,自然推理系统P,INF1457_离散数学及应用,61,67,
INF1457,离散数学及应用,命题逻辑的推理理论,消解证明法,INF1457_离散数学及应用,67,67,
INF1457,离散数学及应用,一阶逻辑基本概念,一阶逻辑命题符号化,INF1457_离散数学及应用,71,76,
INF1457,离散数学及应用,一阶逻辑基本概念,一阶逻辑公式及其解释,INF1457_离散数学及应用,76,81,
INF1457,离散数学及应用,一阶逻辑等值演算与推理,一阶逻辑等值式与置换规则,INF1457_离散数学及应用,84,88,
INF1457,离散数学及应用,一阶逻辑等值演算与推理,一阶逻辑前束范式,INF1457_离散数学及应用,88,90,
INF1457,离散数学及应用,一阶逻辑等值演算与推理,一阶逻辑的推理理论,INF1457_离散数学及应用,90,95,
INF1457,离散数学及应用,集合代数,集合的基本概念,INF1457_离散数学及应用,102,105,
INF1457,离散数学及应用,集合代数,集合的运算,INF1457_离散数学及应用,105,107,
INF1457,离散数学及应用,集合代数,有穷集的计数,INF1457_离散数学及应用,107,111,
INF1457,离散数学及应用,集合代数,集合恒等式,INF1457_离散数学及应用,111,115,
INF1457,离散数学及应用,二元关系,有序对与笛卡儿积,INF1457_离散数学及应用,121,123,
INF1457,离散数学及应用,二元关系,二元关系,INF1457_离散数学及应用,123,125,
INF1457,离散数学及应用,二元关系,关系的运算,INF1457_离散数学及应用,125,132,
INF1457,离散数学及应用,二元关系,关系的性质,INF1457_离散数学及应用,132,137,
INF1457,离散数学及应用,二元关系,关系的闭包,INF1457_离散数学及应用,137,142,
INF1457,离散数学及应用,二元关系,等价关系与划分,INF1457_离散数学及应用,142,145,
INF1457,离散数学及应用,二元关系,偏序关系,INF1457_离散数学及应用,146,149,
INF1457,离散数学及应用,函数,函数的定义与性质,INF1457_离散数学及应用,156,163,
INF1457,离散数学及应用,函数,函数的复合与反函数,INF1457_离散数学及应用,163,167,
INF1457,离散数学及应用,函数,双射函数与集合的基数,INF1457_离散数学及应用,167,175,
INF1457,离散数学及应用,函数,一个电话系统的描述实例,INF1457_离散数学及应用,175,181,
INF1457,离散数学及应用,代数系统,二元运算及其性质,INF1457_离散数学及应用,188,195,
INF1457,离散数学及应用,代数系统,代数系统,INF1457_离散数学及应用,196,199,
INF1457,离散数学及应用,代数系统,代数系统的同态与同构,INF1457_离散数学及应用,199,202,
INF1457,离散数学及应用,群与环,群的定义及性质,INF1457_离散数学及应用,205,209,
INF1457,离散数学及应用,群与环,子群与群的陪集分解,INF1457_离散数学及应用,209,215,
INF1457,离散数学及应用,群与环,循环群与置换群,INF1457_离散数学及应用,216,221,
INF1457,离散数学及应用,群与环,环与域,INF1457_离散数学及应用,221,227,
INF1457,离散数学及应用,格与布尔代数,格的定义与性质,INF1457_离散数学及应用,231,238,
INF1457,离散数学及应用,格与布尔代数,分配格、有补格与布尔代数,INF1457_离散数学及应用,238,242,
INF1457,离散数学及应用,基本的组合计数公式,加法法则与乘法法则,INF1457_离散数学及应用,248,250,
INF1457,离散数学及应用,基本的组合计数公式,排列与组合,INF1457_离散数学及应用,250,254,
INF1457,离散数学及应用,基本的组合计数公式,二项式定理与组合恒等式,INF1457_离散数学及应用,254,259,
INF1457,离散数学及应用,基本的组合计数公式,多项式定理,INF1457_离散数学及应用,259,261,
INF1457,离散数学及应用,递推方程与生成函数,递推方程的定义及实例,INF1457_离散数学及应用,264,266,
INF1457,离散数学及应用,递推方程与生成函数,递推方程的公式解法,INF1457_离散数学及应用,266,271,
INF1457,离散数学及应用,递推方程与生成函数,递推方程的其他解法,INF1457_离散数学及应用,271,279,
INF1457,离散数学及应用,递推方程与生成函数,生成函数及其应用,INF1457_离散数学及应用,279,288,
INF1457,离散数学及应用,递推方程与生成函数,指数生成函数及其应用,INF1457_离散数学及应用,288,289,
INF1457,离散数学及应用,递推方程与生成函数,Catalan数与Stirling数,INF1457_离散数学及应用,290,297,
INF1457,离散数学及应用,图的基本概念,图,INF1457_离散数学及应用,304,312,
INF1457,离散数学及应用,图的基本概念,通路与回路,INF1457_离散数学及应用,312,313,
INF1457,离散数学及应用,图的基本概念,图的连通性,INF1457_离散数学及应用,313,319,
INF1457,离散数学及应用,图的基本概念,图的矩阵表示,INF1457_离散数学及应用,319,322,
INF1457,离散数学及应用,图的基本概念,图的运算,INF1457_离散数学及应用,322,322,
INF1457,离散数学及应用,欧拉图与哈密顿图,欧拉图,INF1457_离散数学及应用,327,331,
INF1457,离散数学及应用,欧拉图与哈密顿图,哈密顿图,INF1457_离散数学及应用,331,334,
INF1457,离散数学及应用,欧拉图与哈密顿图,最短路问题、中国邮递员问题与货郎担问题,INF1457_离散数学及应用,334,337,
INF1457,离散数学及应用,树,无向树及其性质,INF1457_离散数学及应用,340,342,
INF1457,离散数学及应用,树,生成树,INF1457_离散数学及应用,342,346,
INF1457,离散数学及应用,树,根树及其应用,INF1457_离散数学及应用,346,351,
INF1457,离散数学及应用,平面图,平面图的基本概念,INF1457_离散数学及应用,355,357,
INF1457,离散数学及应用,平面图,欧拉公式,INF1457_离散数学及应用,357,360,
INF1457,离散数学及应用,平面图,平面图的判断,INF1457_离散数学及应用,360,362,
INF1457,离散数学及应用,平面图,平面图的对偶图,INF1457_离散数学及应用,362,364,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,支配集、点覆盖集与点独立集,INF1457_离散数学及应用,367,369,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,边覆盖集与匹配,INF1457_离散数学及应用,369,371,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,二部图中的匹配,INF1457_离散数学及应用,371,373,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,点着色,INF1457_离散数学及应用,373,375,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,地图着色与平面图的点着色,INF1457_离散数学及应用,375,376,
INF1457,离散数学及应用,支配集、覆盖集、独立集、匹配与着色,边着色,INF1457_离散数学及应用,376,377,
INF1457,离散数学及应用,初等数论,素数,INF1457_离散数学及应用,382,385,
INF1457,离散数学及应用,初等数论,最大公约数与最小公倍数,INF1457_离散数学及应用,386,388,
INF1457,离散数学及应用,初等数论,同余,INF1457_离散数学及应用,388,391,
INF1457,离散数学及应用,初等数论,一次同余方程,INF1457_离散数学及应用,391,393,
INF1457,离散数学及应用,初等数论,欧拉定理和费马小定理,INF1457_离散数学及应用,393,394,
INF1457,离散数学及应用,初等数论,初等数论在计算机科学技术中的几个应用,INF1457_离散数学及应用,394,398,
