课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1381,互联网金融与区块链,互联网金融概述,互联网金融基本概念,INF1381_互联网金融与区块链,12,18,
INF1381,互联网金融与区块链,互联网金融概述,金融业务互联网化,INF1381_互联网金融与区块链,18,21,
INF1381,互联网金融与区块链,互联网金融概述,互联网业务金融化,INF1381_互联网金融与区块链,21,26,
INF1381,互联网金融与区块链,传统金融机构互联网化,银行互联网化,INF1381_互联网金融与区块链,29,41,
INF1381,互联网金融与区块链,传统金融机构互联网化,非银行金融机构互联网化,INF1381_互联网金融与区块链,41,48,
INF1381,互联网金融与区块链,传统金融机构互联网化,金融业务互联网化未来发展,INF1381_互联网金融与区块链,48,50,
INF1381,互联网金融与区块链,互联网机构业务金融化,门户网站,INF1381_互联网金融与区块链,55,59,
INF1381,互联网金融与区块链,互联网机构业务金融化,电子商务,INF1381_互联网金融与区块链,59,65,
INF1381,互联网金融与区块链,互联网机构业务金融化,互联网金融,INF1381_互联网金融与区块链,65,69,
INF1381,互联网金融与区块链,互联网机构业务金融化,未来发展,INF1381_互联网金融与区块链,69,75,
INF1381,互联网金融与区块链,基于互联网的银行业务,互联网银行,INF1381_互联网金融与区块链,80,87,
INF1381,互联网金融与区块链,基于互联网的银行业务,个人征信,INF1381_互联网金融与区块链,87,96,
INF1381,互联网金融与区块链,基于互联网的银行业务,消费金融,INF1381_互联网金融与区块链,96,103,
INF1381,互联网金融与区块链,基于互联网的银行业务,基于互联网的银行业务对商业银行的影响,INF1381_互联网金融与区块链,103,105,
INF1381,互联网金融与区块链,基于互联网的支付,网络支付,INF1381_互联网金融与区块链,111,124,
INF1381,互联网金融与区块链,基于互联网的支付,银行卡收单,INF1381_互联网金融与区块链,124,133,
INF1381,互联网金融与区块链,基于互联网的支付,支付清算,INF1381_互联网金融与区块链,133,140,
INF1381,互联网金融与区块链,基于互联网的卡支付,概述,INF1381_互联网金融与区块链,145,147,
INF1381,互联网金融与区块链,基于互联网的卡支付,分类,INF1381_互联网金融与区块链,147,156,
INF1381,互联网金融与区块链,基于互联网的卡支付,网络货币,INF1381_互联网金融与区块链,156,159,
INF1381,互联网金融与区块链,P2P网络借贷,境外典型的网络借贷,INF1381_互联网金融与区块链,163,166,
INF1381,互联网金融与区块链,P2P网络借贷,境内网络借贷,INF1381_互联网金融与区块链,166,179,
INF1381,互联网金融与区块链,基于互联网的众筹,境外的众筹,INF1381_互联网金融与区块链,183,185,
INF1381,互联网金融与区块链,基于互联网的众筹,境内的众筹,INF1381_互联网金融与区块链,185,195,
INF1381,互联网金融与区块链,基于互联网的众筹,股权众筹,INF1381_互联网金融与区块链,195,209,
INF1381,互联网金融与区块链,基于互联网的基金与保险,互联网基金,INF1381_互联网金融与区块链,213,222,
INF1381,互联网金融与区块链,基于互联网的基金与保险,互联网保险,INF1381_互联网金融与区块链,222,237,
INF1381,互联网金融与区块链,互联网信托与理财,互联网信托,INF1381_互联网金融与区块链,241,250,
INF1381,互联网金融与区块链,互联网信托与理财,互联网理财,INF1381_互联网金融与区块链,250,258,
INF1381,互联网金融与区块链,互联网金融监管,互联网金融监管的必要性,INF1381_互联网金融与区块链,262,263,
INF1381,互联网金融与区块链,互联网金融监管,第三方网上支付的监管,INF1381_互联网金融与区块链,263,267,
INF1381,互联网金融与区块链,互联网金融监管,众筹的监管,INF1381_互联网金融与区块链,267,272,
INF1381,互联网金融与区块链,互联网金融监管,P2P网络借贷的监管,INF1381_互联网金融与区块链,272,278,
INF1381,互联网金融与区块链,互联网金融监管,监管模型和监管策略,INF1381_互联网金融与区块链,278,286,
INF1381,互联网金融与区块链,互联网金融监管,我国互联网金融监管的未来发展趋势,INF1381_互联网金融与区块链,286,289,
