课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1347,工程线性代数,行列式,二阶与三阶行列式,INF1347_工程线性代数,12,15,
INF1347,工程线性代数,行列式,全排列和对换,INF1347_工程线性代数,15,16,
INF1347,工程线性代数,行列式,n阶行列式的定义,INF1347_工程线性代数,16,18,
INF1347,工程线性代数,行列式,行列式的性质,INF1347_工程线性代数,18,26,
INF1347,工程线性代数,行列式,行列式按行（列）展开,INF1347_工程线性代数,26,32,
INF1347,工程线性代数,矩阵及其运算,线性方程组和矩阵,INF1347_工程线性代数,35,40,
INF1347,工程线性代数,矩阵及其运算,矩阵的运算,INF1347_工程线性代数,40,50,
INF1347,工程线性代数,矩阵及其运算,逆矩阵,INF1347_工程线性代数,50,55,
INF1347,工程线性代数,矩阵及其运算,克拉默法则,INF1347_工程线性代数,55,57,
INF1347,工程线性代数,矩阵及其运算,矩阵分块法,INF1347_工程线性代数,57,63,
INF1347,工程线性代数,矩阵的初等变换与线性方程组,矩阵的初等变换,INF1347_工程线性代数,67,77,
INF1347,工程线性代数,矩阵的初等变换与线性方程组,矩阵的秩,INF1347_工程线性代数,77,82,
INF1347,工程线性代数,矩阵的初等变换与线性方程组,线性方程组的解,INF1347_工程线性代数,82,88,
INF1347,工程线性代数,向量组的线性相关性,向量组及其线性组合,INF1347_工程线性代数,92,98,
INF1347,工程线性代数,向量组的线性相关性,向量组的线性相关性,INF1347_工程线性代数,98,102,
INF1347,工程线性代数,向量组的线性相关性,向量组的秩,INF1347_工程线性代数,102,107,
INF1347,工程线性代数,向量组的线性相关性,线性方程组的解的结构,INF1347_工程线性代数,107,115,
INF1347,工程线性代数,向量组的线性相关性,向量空间,INF1347_工程线性代数,115,120,
INF1347,工程线性代数,相似矩阵及二次型,向量的内积、长度及正交性,INF1347_工程线性代数,125,131,
INF1347,工程线性代数,相似矩阵及二次型,方阵的特征值与特征向量,INF1347_工程线性代数,131,135,
INF1347,工程线性代数,相似矩阵及二次型,相似矩阵,INF1347_工程线性代数,135,138,
INF1347,工程线性代数,相似矩阵及二次型,对称矩阵的对角化,INF1347_工程线性代数,138,141,
INF1347,工程线性代数,相似矩阵及二次型,二次型及其标准形,INF1347_工程线性代数,141,146,
INF1347,工程线性代数,相似矩阵及二次型,用配方法化二次型成标准形,INF1347_工程线性代数,146,147,
INF1347,工程线性代数,相似矩阵及二次型,正定二次型,INF1347_工程线性代数,147,149,
INF1347,工程线性代数,线性空间与线性变换,线性空间的定义与性质,INF1347_工程线性代数,153,157,
INF1347,工程线性代数,线性空间与线性变换,维数、基与坐标,INF1347_工程线性代数,157,159,
INF1347,工程线性代数,线性空间与线性变换,基变换与坐标变换,INF1347_工程线性代数,159,161,
INF1347,工程线性代数,线性空间与线性变换,线性变换,INF1347_工程线性代数,161,164,
INF1347,工程线性代数,线性空间与线性变换,线性变换的矩阵表示式,INF1347_工程线性代数,164,168,
