课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1369,计算机科学导论,概述,计算的起源,INF1369_计算机科学导论,11,11,
INF1369,计算机科学导论,概述,计算机的产生和发展阶段,INF1369_计算机科学导论,13,32,
INF1369,计算机科学导论,概述,计算机的应用领域和发展趋势,INF1369_计算机科学导论,32,35,
INF1369,计算机科学导论,概述,计算学科,INF1369_计算机科学导论,36,45,
INF1369,计算机科学导论,概述,计算机科学与技术学科的知识体系,INF1369_计算机科学导论,39,42,
INF1369,计算机科学导论,概述,计算机科学与技术学科的教育,INF1369_计算机科学导论,43,45,
INF1369,计算机科学导论,概述,信息化的挑战,INF1369_计算机科学导论,46,46,
INF1369,计算机科学导论,概述,计算机产业,INF1369_计算机科学导论,46,46,
INF1369,计算机科学导论,计算机体系结构与组织,数值数据,INF1369_计算机科学导论,50,59,
INF1369,计算机科学导论,计算机体系结构与组织,非数值数据,INF1369_计算机科学导论,60,63,
INF1369,计算机科学导论,计算机体系结构与组织,数据的机器编码,INF1369_计算机科学导论,63,64,
INF1369,计算机科学导论,计算机体系结构与组织,数字逻辑与数字系统,INF1369_计算机科学导论,64,69,
INF1369,计算机科学导论,计算机体系结构与组织,计算机系统的组成,INF1369_计算机科学导论,69,79,
INF1369,计算机科学导论,计算机体系结构与组织,存储系统的结构,INF1369_计算机科学导论,79,81,
INF1369,计算机科学导论,计算机体系结构与组织,输入、输出系统,INF1369_计算机科学导论,81,81,
INF1369,计算机科学导论,计算机体系结构与组织,多核技术,INF1369_计算机科学导论,81,82,
INF1369,计算机科学导论,计算机体系结构与组织,高性能计算机,INF1369_计算机科学导论,82,82,
INF1369,计算机科学导论,计算机体系结构与组织,并行计算机,INF1369_计算机科学导论,82,83,
INF1369,计算机科学导论,计算机体系结构与组织,分布式系统,INF1369_计算机科学导论,83,83,
INF1369,计算机科学导论,程序设计语言,程序设计语言概述,INF1369_计算机科学导论,86,93,
INF1369,计算机科学导论,程序设计语言,声明和类型,INF1369_计算机科学导论,93,93,
INF1369,计算机科学导论,程序设计语言,类型系统,INF1369_计算机科学导论,93,93,
INF1369,计算机科学导论,程序设计语言,编译原理,INF1369_计算机科学导论,93,99,
INF1369,计算机科学导论,程序设计语言,程序设计语言的设计,INF1369_计算机科学导论,99,99,
INF1369,计算机科学导论,程序设计基础,程序设计,INF1369_计算机科学导论,102,102,
INF1369,计算机科学导论,程序设计基础,程序设计方法,INF1369_计算机科学导论,102,111,
INF1369,计算机科学导论,程序设计基础,基本数据结构,INF1369_计算机科学导论,111,120,
INF1369,计算机科学导论,算法与复杂性,算法分析,INF1369_计算机科学导论,122,123,
INF1369,计算机科学导论,算法与复杂性,常用算法,INF1369_计算机科学导论,124,126,
INF1369,计算机科学导论,算法与复杂性,算法描述工具,INF1369_计算机科学导论,126,127,
INF1369,计算机科学导论,算法与复杂性,算法的评价,INF1369_计算机科学导论,128,129,
INF1369,计算机科学导论,算法与复杂性,算法设计策略,INF1369_计算机科学导论,129,129,
INF1369,计算机科学导论,算法与复杂性,分布式算法,INF1369_计算机科学导论,129,129,
INF1369,计算机科学导论,算法与复杂性,可计算理论基础,INF1369_计算机科学导论,130,130,
INF1369,计算机科学导论,算法与复杂性,NP问题,INF1369_计算机科学导论,130,130,
INF1369,计算机科学导论,算法与复杂性,自动机理论,INF1369_计算机科学导论,131,131,
INF1369,计算机科学导论,算法与复杂性,加密算法,INF1369_计算机科学导论,131,132,
INF1369,计算机科学导论,算法与复杂性,几何算法,INF1369_计算机科学导论,132,132,
INF1369,计算机科学导论,算法与复杂性,并行算法,INF1369_计算机科学导论,133,133,
INF1369,计算机科学导论,信息管理,模型与信息系统,INF1369_计算机科学导论,135,136,
INF1369,计算机科学导论,信息管理,数据库系统,INF1369_计算机科学导论,136,141,
INF1369,计算机科学导论,信息管理,关系数据库,INF1369_计算机科学导论,141,145,
INF1369,计算机科学导论,信息管理,数据库查询语言SQL,INF1369_计算机科学导论,145,146,
INF1369,计算机科学导论,信息管理,关系数据库设计,INF1369_计算机科学导论,146,147,
INF1369,计算机科学导论,信息管理,数据库管理,INF1369_计算机科学导论,147,149,
INF1369,计算机科学导论,信息管理,常用数据库管理系统,INF1369_计算机科学导论,149,150,
INF1369,计算机科学导论,信息管理,数据库的新发展,INF1369_计算机科学导论,151,154,
INF1369,计算机科学导论,软件工程,软件工程,INF1369_计算机科学导论,157,162,
INF1369,计算机科学导论,软件工程,软件开发模型,INF1369_计算机科学导论,162,167,
INF1369,计算机科学导论,软件工程,软件开发方法,INF1369_计算机科学导论,167,170,
