课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1317,计算机组成原理,计算机系统概述,计算机发展历程,INF1317_计算机组成原理,14,17,
INF1317,计算机组成原理,计算机系统概述,计算机系统的组成,INF1317_计算机组成原理,17,21,
INF1317,计算机组成原理,计算机系统概述,计算机系统的层次结构,INF1317_计算机组成原理,21,23,
INF1317,计算机组成原理,计算机系统概述,计算机性能指标和评价,INF1317_计算机组成原理,23,29,
INF1317,计算机组成原理,数据信息的表示,数据表示的作用,INF1317_计算机组成原理,32,32,
INF1317,计算机组成原理,数据信息的表示,数值数据的表示,INF1317_计算机组成原理,32,53,
INF1317,计算机组成原理,数据信息的表示,非数值数据的表示,INF1317_计算机组成原理,53,55,
INF1317,计算机组成原理,数据信息的表示,数据信息的校验,INF1317_计算机组成原理,55,66,
INF1317,计算机组成原理,运算方法与运算器,计算机中的运算,INF1317_计算机组成原理,70,73,
INF1317,计算机组成原理,运算方法与运算器,定点加减法运算,INF1317_计算机组成原理,73,82,
INF1317,计算机组成原理,运算方法与运算器,定点乘法运算,INF1317_计算机组成原理,82,90,
INF1317,计算机组成原理,运算方法与运算器,定点除法运算,INF1317_计算机组成原理,90,96,
INF1317,计算机组成原理,运算方法与运算器,浮点运算,INF1317_计算机组成原理,96,100,
INF1317,计算机组成原理,运算方法与运算器,运算器,INF1317_计算机组成原理,100,105,
INF1317,计算机组成原理,存储系统,存储器概述,INF1317_计算机组成原理,108,113,
INF1317,计算机组成原理,存储系统,半导体存储器,INF1317_计算机组成原理,113,129,
INF1317,计算机组成原理,存储系统,主存的组织及与CPU的连接,INF1317_计算机组成原理,129,131,
INF1317,计算机组成原理,存储系统,并行主存系统,INF1317_计算机组成原理,131,134,
INF1317,计算机组成原理,存储系统,高速缓冲存储器,INF1317_计算机组成原理,134,151,
INF1317,计算机组成原理,存储系统,虚拟存储器,INF1317_计算机组成原理,151,160,
INF1317,计算机组成原理,指令系统,指令系统概述,INF1317_计算机组成原理,166,167,
INF1317,计算机组成原理,指令系统,指令格式,INF1317_计算机组成原理,167,170,
INF1317,计算机组成原理,指令系统,寻址方式,INF1317_计算机组成原理,170,177,
INF1317,计算机组成原理,指令系统,指令类型,INF1317_计算机组成原理,177,179,
INF1317,计算机组成原理,指令系统,指令格式设计,INF1317_计算机组成原理,179,180,
INF1317,计算机组成原理,指令系统,CISC和RISC,INF1317_计算机组成原理,180,182,
INF1317,计算机组成原理,指令系统,指令系统举例,INF1317_计算机组成原理,182,195,
INF1317,计算机组成原理,中央处理器,中央处理器概述,INF1317_计算机组成原理,199,202,
INF1317,计算机组成原理,中央处理器,指令周期,INF1317_计算机组成原理,202,204,
INF1317,计算机组成原理,中央处理器,数据通路及指令操作流程,INF1317_计算机组成原理,204,231,
INF1317,计算机组成原理,中央处理器,时序与控制,INF1317_计算机组成原理,231,236,
INF1317,计算机组成原理,中央处理器,硬布线控制器,INF1317_计算机组成原理,236,242,
INF1317,计算机组成原理,中央处理器,微程序控制器,INF1317_计算机组成原理,242,254,
INF1317,计算机组成原理,中央处理器,异常与中断处理,INF1317_计算机组成原理,254,260,
INF1317,计算机组成原理,指令流水线,流水线概述,INF1317_计算机组成原理,267,270,
INF1317,计算机组成原理,指令流水线,流水线数据通路,INF1317_计算机组成原理,270,276,
INF1317,计算机组成原理,指令流水线,流水线冲突与处理,INF1317_计算机组成原理,276,293,
INF1317,计算机组成原理,指令流水线,流水线的异常与中断,INF1317_计算机组成原理,293,295,
INF1317,计算机组成原理,指令流水线,指令级并行技术,INF1317_计算机组成原理,295,296,
INF1317,计算机组成原理,总线系统,总线概述,INF1317_计算机组成原理,300,307,
INF1317,计算机组成原理,总线系统,总线传输机制,INF1317_计算机组成原理,307,319,
INF1317,计算机组成原理,总线系统,总线结构,INF1317_计算机组成原理,319,325,
INF1317,计算机组成原理,总线系统,常用总线,INF1317_计算机组成原理,325,331,
INF1317,计算机组成原理,输入输出系统,输入输出设备与特性,INF1317_计算机组成原理,334,335,
INF1317,计算机组成原理,输入输出系统,IO接口,INF1317_计算机组成原理,335,339,
INF1317,计算机组成原理,输入输出系统,数据传输控制方式,INF1317_计算机组成原理,339,340,
INF1317,计算机组成原理,输入输出系统,程序控制方式,INF1317_计算机组成原理,340,345,
INF1317,计算机组成原理,输入输出系统,程序中断控制方式,INF1317_计算机组成原理,345,360,
INF1317,计算机组成原理,输入输出系统,DMA方式,INF1317_计算机组成原理,360,364,
INF1317,计算机组成原理,输入输出系统,通道方式,INF1317_计算机组成原理,364,367,
INF1317,计算机组成原理,输入输出系统,常见IO设备,INF1317_计算机组成原理,367,381,
