课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1390,人工智能实践-数字经济应用实践,数字货币概况,数字货币起源,INF1390_人工智能实践-数字经济应用实践,20,22,
INF1390,人工智能实践-数字经济应用实践,数字货币概况,数字货币原理,INF1390_人工智能实践-数字经济应用实践,22,28,
INF1390,人工智能实践-数字经济应用实践,数字货币概况,数字货币技术特点,INF1390_人工智能实践-数字经济应用实践,28,31,
INF1390,人工智能实践-数字经济应用实践,数字货币概况,比特币协议与发展,INF1390_人工智能实践-数字经济应用实践,31,40,
INF1390,人工智能实践-数字经济应用实践,数字货币概况,数字货币家族成员,INF1390_人工智能实践-数字经济应用实践,40,45,
INF1390,人工智能实践-数字经济应用实践,比特币上手指南,比特币钱包,INF1390_人工智能实践-数字经济应用实践,46,58,
INF1390,人工智能实践-数字经济应用实践,比特币上手指南,比特币的获取,INF1390_人工智能实践-数字经济应用实践,58,101,
INF1390,人工智能实践-数字经济应用实践,比特币上手指南,比特币的使用,INF1390_人工智能实践-数字经济应用实践,101,113,
INF1390,人工智能实践-数字经济应用实践,比特币创业,比特币挖矿,INF1390_人工智能实践-数字经济应用实践,114,118,
INF1390,人工智能实践-数字经济应用实践,比特币创业,比特币金融,INF1390_人工智能实践-数字经济应用实践,118,119,
INF1390,人工智能实践-数字经济应用实践,比特币创业,区块链技术应用,INF1390_人工智能实践-数字经济应用实践,119,120,
INF1390,人工智能实践-数字经济应用实践,比特币面临的问题,币值的波动,INF1390_人工智能实践-数字经济应用实践,120,128,
INF1390,人工智能实践-数字经济应用实践,比特币面临的问题,技术性风险,INF1390_人工智能实践-数字经济应用实践,128,132,
INF1390,人工智能实践-数字经济应用实践,比特币面临的问题,政策风险,INF1390_人工智能实践-数字经济应用实践,132,135,
INF1390,人工智能实践-数字经济应用实践,比特币面临的问题,发展进化,INF1390_人工智能实践-数字经济应用实践,135,149,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,比特币的区块链,INF1390_人工智能实践-数字经济应用实践,149,152,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,区块结构,INF1390_人工智能实践-数字经济应用实践,152,153,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,区块头,INF1390_人工智能实践-数字经济应用实践,153,154,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,区块标识符：区块头哈希值和区块高度,INF1390_人工智能实践-数字经济应用实践,154,155,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,创世区块,INF1390_人工智能实践-数字经济应用实践,155,157,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,区块的连接,INF1390_人工智能实践-数字经济应用实践,157,160,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,Merkle树,INF1390_人工智能实践-数字经济应用实践,160,167,
INF1390,人工智能实践-数字经济应用实践,区块链和比特币的关系,Merkle树和简单支付验证(SPV),INF1390_人工智能实践-数字经济应用实践,167,168,
