课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1417,计算机建模和仿真,计算机建模和仿真的基本概念,系统与模型的概念,INF1417_计算机建模和仿真,9,11,
INF1417,计算机建模和仿真,计算机建模和仿真的基本概念,计算机仿真的概念,INF1417_计算机建模和仿真,11,14,
INF1417,计算机建模和仿真,计算机建模和仿真的基本概念,计算机仿真的组成和分类,INF1417_计算机建模和仿真,14,17,
INF1417,计算机建模和仿真,计算机建模和仿真的基本概念,计算机仿真的工作流程和仿真算法,INF1417_计算机建模和仿真,17,19,
INF1417,计算机建模和仿真,计算机建模和仿真的基本概念,计算机仿真技术的应用与仿真技术的发展趋势,INF1417_计算机建模和仿真,19,23,
INF1417,计算机建模和仿真,系统数学模型与仿真技术,系统数学模型,INF1417_计算机建模和仿真,24,29,
INF1417,计算机建模和仿真,系统数学模型与仿真技术,连续系统的数学模型及其相互转换,INF1417_计算机建模和仿真,29,45,
INF1417,计算机建模和仿真,系统数学模型与仿真技术,离散时间系统的数学模型,INF1417_计算机建模和仿真,45,54,
INF1417,计算机建模和仿真,系统数学模型与仿真技术,数学模型在MATLAB中的实现,INF1417_计算机建模和仿真,54,62,
INF1417,计算机建模和仿真,连续系统的数字仿真,数值积分法,INF1417_计算机建模和仿真,64,84,
INF1417,计算机建模和仿真,连续系统的数字仿真,离散相似法,INF1417_计算机建模和仿真,84,90,
INF1417,计算机建模和仿真,连续系统的数字仿真,非线性系统的仿真算法,INF1417_计算机建模和仿真,90,97,
INF1417,计算机建模和仿真,连续系统的数字仿真,分布参数系统的仿真算法,INF1417_计算机建模和仿真,97,104,
INF1417,计算机建模和仿真,连续系统的数字仿真,快速数字仿真方法,INF1417_计算机建模和仿真,104,115,
INF1417,计算机建模和仿真,连续系统的数字仿真,仿真程序设计方法,INF1417_计算机建模和仿真,115,121,
INF1417,计算机建模和仿真,连续系统的数字仿真,仿真算法的MATLAB实现,INF1417_计算机建模和仿真,121,128,
INF1417,计算机建模和仿真,离散事件系统的数字仿真,离散事件系统的基本要素和特点,INF1417_计算机建模和仿真,130,133,
INF1417,计算机建模和仿真,离散事件系统的数字仿真,离散事件系统的模型与仿真方法,INF1417_计算机建模和仿真,133,140,
INF1417,计算机建模和仿真,离散事件系统的数字仿真,典型离散事件系统的仿真,INF1417_计算机建模和仿真,140,152,
INF1417,计算机建模和仿真,离散事件系统的数字仿真,随机数与随机变量的生成,INF1417_计算机建模和仿真,152,162,
INF1417,计算机建模和仿真,MATLAB、SIMULINK建模仿真技术,MATLAB、SIMULINK 概述及基本操作,INF1417_计算机建模和仿真,167,198,
INF1417,计算机建模和仿真,MATLAB、SIMULINK建模仿真技术,汇编语言在数字仿真的应用,INF1417_计算机建模和仿真,198,205,
INF1417,计算机建模和仿真,MATLAB、SIMULINK建模仿真技术,C语言在数字仿真的应用,INF1417_计算机建模和仿真,202,207,
INF1417,计算机建模和仿真,现代仿真技术,面向对象的仿真技术,INF1417_计算机建模和仿真,207,218,
INF1417,计算机建模和仿真,现代仿真技术,分布交互式仿真技术,INF1417_计算机建模和仿真,218,229,
INF1417,计算机建模和仿真,现代仿真技术,虚拟现实技术,INF1417_计算机建模和仿真,229,238,
INF1417,计算机建模和仿真,现代仿真技术,建模与仿真的VV&A技术,INF1417_计算机建模和仿真,238,252,
INF1417,计算机建模和仿真,计算机建模仿真实例,车辆动力学模型的数字仿真,INF1417_计算机建模和仿真,254,265,
INF1417,计算机建模和仿真,计算机建模仿真实例,机械电子系统的数字仿真,INF1417_计算机建模和仿真,265,276,
INF1417,计算机建模和仿真,计算机建模仿真实例,在其他领域中的数字仿真应用,INF1417_计算机建模和仿真,276,282,
