课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
DAT1025,概率论与数理统计,随机事件与概率,随机事件及其运算,DAT1025_概率论与数理统计,22,30,
DAT1025,概率论与数理统计,随机事件与概率,概率的定义及其确定方法,DAT1025_概率论与数理统计,32,47,
DAT1025,概率论与数理统计,随机事件与概率,概率的性质,DAT1025_概率论与数理统计,49,56,
DAT1025,概率论与数理统计,随机事件与概率,条件概率,DAT1025_概率论与数理统计,57,66,
DAT1025,概率论与数理统计,随机事件与概率,独立性,DAT1025_概率论与数理统计,68,73,
DAT1025,概率论与数理统计,随机变量及其分布,随机变量及其分布,DAT1025_概率论与数理统计,76,87,
DAT1025,概率论与数理统计,随机变量及其分布,随机变量的数学期望,DAT1025_概率论与数理统计,90,96,
DAT1025,概率论与数理统计,随机变量及其分布,随机变量的方差与标准差,DAT1025_概率论与数理统计,98,102,
DAT1025,概率论与数理统计,随机变量及其分布,常用离散分布,DAT1025_概率论与数理统计,103,114,
DAT1025,概率论与数理统计,随机变量及其分布,常用连续分布,DAT1025_概率论与数理统计,115,128,
DAT1025,概率论与数理统计,随机变量及其分布,随机变量函数的分布,DAT1025_概率论与数理统计,130,135,
DAT1025,概率论与数理统计,随机变量及其分布,分布的其他特征数,DAT1025_概率论与数理统计,137,144,
DAT1025,概率论与数理统计,多维随机变量及其分布,多维随机变量及其联合分布,DAT1025_概率论与数理统计,146,155,
DAT1025,概率论与数理统计,多维随机变量及其分布,边际分布与随机变量的独立性,DAT1025_概率论与数理统计,157,164,
DAT1025,概率论与数理统计,多维随机变量及其分布,多维随机变量函数的分布,DAT1025_概率论与数理统计,166,175,
DAT1025,概率论与数理统计,多维随机变量及其分布,多维随机变量的特征数,DAT1025_概率论与数理统计,176,190,
DAT1025,概率论与数理统计,多维随机变量及其分布,条件分布与条件期望,DAT1025_概率论与数理统计,194,204,
DAT1025,概率论与数理统计,大数定律与中心极限定理,随机变量序列的两种收敛性,DAT1025_概率论与数理统计,207,211,
DAT1025,概率论与数理统计,大数定律与中心极限定理,特征函数,DAT1025_概率论与数理统计,213,222,
DAT1025,概率论与数理统计,大数定律与中心极限定理,大数定律,DAT1025_概率论与数理统计,223,230,
DAT1025,概率论与数理统计,大数定律与中心极限定理,中心极限定理,DAT1025_概率论与数理统计,231,241,
DAT1025,概率论与数理统计,统计量及其分布,总体与样本,DAT1025_概率论与数理统计,244,247,
DAT1025,概率论与数理统计,统计量及其分布,样本数据的整理与显示,DAT1025_概率论与数理统计,248,252,
DAT1025,概率论与数理统计,统计量及其分布,统计量及其分布,DAT1025_概率论与数理统计,253,267,
DAT1025,概率论与数理统计,统计量及其分布,三大抽样分布,DAT1025_概率论与数理统计,270,278,
DAT1025,概率论与数理统计,统计量及其分布,充分统计量,DAT1025_概率论与数理统计,280,285,
DAT1025,概率论与数理统计,参数估计,点估计的概念与无偏性,DAT1025_概率论与数理统计,288,292,
DAT1025,概率论与数理统计,参数估计,矩估计及相合性,DAT1025_概率论与数理统计,293,297,
DAT1025,概率论与数理统计,参数估计,最大似然估计与EM算法,DAT1025_概率论与数理统计,298,305,
DAT1025,概率论与数理统计,参数估计,最小方差无偏估计,DAT1025_概率论与数理统计,307,314,
DAT1025,概率论与数理统计,参数估计,贝叶斯估计,DAT1025_概率论与数理统计,315,319,
DAT1025,概率论与数理统计,参数估计,区间估计,DAT1025_概率论与数理统计,321,332,
DAT1025,概率论与数理统计,假设检验,假设检验的基本思想与概念,DAT1025_概率论与数理统计,335,341,
DAT1025,概率论与数理统计,假设检验,正态总体参数假设检验,DAT1025_概率论与数理统计,342,354,
DAT1025,概率论与数理统计,假设检验,其他分布参数的假设检验,DAT1025_概率论与数理统计,358,361,
DAT1025,概率论与数理统计,假设检验,似然比检验与分布拟合检验,DAT1025_概率论与数理统计,362,371,
DAT1025,概率论与数理统计,假设检验,正态性检验,DAT1025_概率论与数理统计,373,381,
DAT1025,概率论与数理统计,假设检验,非参数检验,DAT1025_概率论与数理统计,381,391,
DAT1025,概率论与数理统计,方差分析与回归分析,方差分析,DAT1025_概率论与数理统计,394,404,
DAT1025,概率论与数理统计,方差分析与回归分析,多重比较,DAT1025_概率论与数理统计,406,410,
DAT1025,概率论与数理统计,方差分析与回归分析,方差齐性检验,DAT1025_概率论与数理统计,411,416,
DAT1025,概率论与数理统计,方差分析与回归分析,一元线性回归,DAT1025_概率论与数理统计,417,432,
DAT1025,概率论与数理统计,方差分析与回归分析,一元非线性回归,DAT1025_概率论与数理统计,434,440,
