课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1156,普通物理,运动和力,质点运动的描述,INF1156_普通物理1,26,38,
INF1156,普通物理,运动和力,抛体运动,INF1156_普通物理1,38,40,
INF1156,普通物理,运动和力,圆周运动和一般曲线运动,INF1156_普通物理1,40,46,
INF1156,普通物理,运动和力,相对运动,INF1156_普通物理1,46,49,
INF1156,普通物理,运动和力,牛顿运动定律 力学中的常见力,INF1156_普通物理1,49,62,
INF1156,普通物理,运动和力,非惯性系 惯性力,INF1156_普通物理1,62,65,
INF1156,普通物理,运动的守恒量和守恒定律,质点系的内力和外力 质心 质心运动定理,INF1156_普通物理1,74,77,
INF1156,普通物理,运动的守恒量和守恒定律,动量定理 动量守恒定律,INF1156_普通物理1,77,87,
INF1156,普通物理,运动的守恒量和守恒定律,质点的角动量定理和角动量守恒定律,INF1156_普通物理1,87,92,
INF1156,普通物理,运动的守恒量和守恒定律,动 动能 动能定理,INF1156_普通物理1,92,97,
INF1156,普通物理,运动的守恒量和守恒定律,保守力 成对力的功 势能,INF1156_普通物理1,98,104,
INF1156,普通物理,运动的守恒量和守恒定律,质点系的动能原理 机械能守恒定律,INF1156_普通物理1,104,114,
INF1156,普通物理,运动的守恒量和守恒定律,碰撞,INF1156_普通物理1,114,119,
INF1156,普通物理,运动的守恒量和守恒定律,对称性和守恒定律,INF1156_普通物理1,119,120,
INF1156,普通物理,刚体和流体的运动,刚体模型及其运动,INF1156_普通物理1,130,132,
INF1156,普通物理,刚体和流体的运动,力矩 转动惯量 定轴转动定律,INF1156_普通物理1,132,139,
INF1156,普通物理,刚体和流体的运动,定轴转动中的动能关系,INF1156_普通物理1,139,143,
INF1156,普通物理,刚体和流体的运动,定轴转动刚体的角动量定理和角动量守恒定律,INF1156_普通物理1,143,151,
INF1156,普通物理,刚体和流体的运动,进动,INF1156_普通物理1,151,152,
INF1156,普通物理,刚体和流体的运动,理想流体模型 定常流动 伯努利方程,INF1156_普通物理1,153,155,
INF1156,普通物理,相对论基础,伽利略相对论原理 伽利略变换,INF1156_普通物理1,162,164,
INF1156,普通物理,相对论基础,狭义相对论基本原理 洛伦兹变换,INF1156_普通物理1,164,166,
INF1156,普通物理,相对论基础,相对论连续变换,INF1156_普通物理1,166,168,
INF1156,普通物理,相对论基础,狭义相对论的时空观,INF1156_普通物理1,168,173,
INF1156,普通物理,相对论基础,狭义相对论动力学基础,INF1156_普通物理1,173,180,
INF1156,普通物理,相对论基础,广义相对论简介,INF1156_普通物理1,180,182,
INF1156,普通物理,气体动理论,气体的动态方程,INF1156_普通物理1,186,190,
INF1156,普通物理,气体动理论,理想气体的压强和温度公式,INF1156_普通物理1,190,195,
INF1156,普通物理,气体动理论,能量均匀分布定理 理想气体的内能,INF1156_普通物理1,195,197,
INF1156,普通物理,气体动理论,麦克斯韦速率分布,INF1156_普通物理1,197,204,
INF1156,普通物理,气体动理论,麦克斯韦-玻耳兹曼分布 重力场中粒子按高度的分布,INF1156_普通物理1,204,206,
INF1156,普通物理,气体动理论,分子的碰撞和平均自由程,INF1156_普通物理1,207,209,
INF1156,普通物理,气体动理论,气体的静运现象,INF1156_普通物理1,209,211,
INF1156,普通物理,热力学基础,热力学第零定律和第一定律,INF1156_普通物理1,216,219,
INF1156,普通物理,热力学基础,热力学第一定律对于理想气体准静态过程的应用,INF1156_普通物理1,219,229,
INF1156,普通物理,热力学基础,循环过程 卡诺循环,INF1156_普通物理1,229,235,
INF1156,普通物理,热力学基础,热力学第二定律,INF1156_普通物理1,235,237,
INF1156,普通物理,热力学基础,可逆过程与不可逆过程 卡诺定理,INF1156_普通物理1,237,240,
INF1156,普通物理,热力学基础,熵 玻耳兹曼关系,INF1156_普通物理1,240,245,
INF1156,普通物理,热力学基础,滴液加原理 热力学第二定律的统计意义,INF1156_普通物理1,245,249,
INF1156,普通物理,静止电荷的电场,电荷 库仑定律,INF1156_普通物理1,256,260,
INF1156,普通物理,静止电荷的电场,静电场 电场强度,INF1156_普通物理1,260,273,
INF1156,普通物理,静止电荷的电场,静电场的高斯定理,INF1156_普通物理1,273,280,
INF1156,普通物理,静止电荷的电场,静电场的环绕定理 电势,INF1156_普通物理1,280,289,
INF1156,普通物理,静止电荷的电场,电场强度与电势的微分关系,INF1156_普通物理1,289,292,
INF1156,普通物理,静止电荷的电场,静电场中的导体,INF1156_普通物理1,293,302,
INF1156,普通物理,静止电荷的电场,电容器的电容,INF1156_普通物理1,302,309,
INF1156,普通物理,静止电荷的电场,静电场中的电介质,INF1156_普通物理1,309,316,
INF1156,普通物理,静止电荷的电场,有电介质时的高斯定理和环绕定理 电位移,INF1156_普通物理1,316,321,
INF1156,普通物理,静止电荷的电场,静电场的能量,INF1156_普通物理1,321,325,
INF1156,普通物理,恒定电流的磁场,恒定电流,INF1156_普通物理1,336,341,
INF1156,普通物理,恒定电流的磁场,磁感应强度,INF1156_普通物理1,341,344,
INF1156,普通物理,恒定电流的磁场,毕奥-萨伐尔定律,INF1156_普通物理1,344,352,
INF1156,普通物理,恒定电流的磁场,恒定磁场的高斯定理与安培环路定理,INF1156_普通物理1,352,358,
INF1156,普通物理,恒定电流的磁场,带电粒子在电场和磁场中的运动,INF1156_普通物理1,359,367,
INF1156,普通物理,恒定电流的磁场,磁场对电流导线的作用,INF1156_普通物理1,367,373,
INF1156,普通物理,恒定电流的磁场,磁场中的磁介质,INF1156_普通物理1,374,376,
INF1156,普通物理,恒定电流的磁场,有磁介质时的安培环路定理和高斯定理 磁场强度,INF1156_普通物理1,376,382,
INF1156,普通物理,恒定电流的磁场,铁磁质,INF1156_普通物理1,382,385,
INF1156,普通物理,电磁感应 电磁场理论,电磁感应定律,INF1156_普通物理1,394,399,
INF1156,普通物理,电磁感应 电磁场理论,动生电动势,INF1156_普通物理1,399,404,
INF1156,普通物理,电磁感应 电磁场理论,感生电动势 感生电场,INF1156_普通物理1,404,410,
